,Full Period,High VRP (>3),Low VRP (<1)
Ann.Return,,2.1535748149813645,
Ann.Vol,3.9253888700773465,1.2178999747223103,6.101605463474517
Sharpe,,1.7682690366032683,
Sortino,,,
MaxDrawdown,-7.664343783956733,0.0,-2.763145281136046
Calmar,,,
VaR(5%),-0.12131591009716086,0.03914058474358461,-0.3692092108756118
CVaR(5%),-3.0536443615073465,0.03515572900970691,-4.437693883801537
Skewness,-7.043799756525137,5.263505170765057,-4.774635636060636
Kurtosis,53.708257884461176,27.793610337209422,22.855840135302422
N,60.0,28.0,23.0
